Kategori / Indikator,Sub Indikator,Satuan,2020,2021,2022,2023,2024
Rasio Jaringan Irigasi,Kabupaten Tulungagung,%,9469.0,7464.32,12509.4,0.62,0.0
Persentase irigasi kabupaten dalam kondisi baik,Kabupaten Tulungagung,%,9469.0,7464.32,12509.4,0.62,44.43
Cakupan bina kelompok petani,Kabupaten Tulungagung,Kelompok,1216.0,1255.0,1278.0,1310.0,1358.0
Produktivitas padi atau bahan pangan utama lokal lainnya per hektar,Kabupaten Tulungagung,Kw,9469.0,7464.32,12509.4,3765.0,69.61
Luas Lahan Tanaman Sayuran,Bawang Merah,Ha,429.0,536.0,12509.4,3765.0,215.5
Luas Lahan Tanaman Sayuran,Bawang Putih,Ha,0.0,0.0,12509.4,0.0,0.0
Luas Lahan Tanaman Sayuran,Bawang Daun,Ha,47.0,57.0,12509.4,3765.0,26.0
Luas Lahan Tanaman Sayuran,Kentang,Ha,2.0,0.0,12509.4,0.0,2.0
Luas Lahan Tanaman Sayuran,Kobis,Ha,61.0,127.0,12509.4,156.0,283.0
Luas Lahan Tanaman Sayuran,Kembang Kol,Ha,1.0,0.0,12509.4,0.0,0.0
Luas Lahan Tanaman Sayuran,Petsay/ Sawi,Ha,134.0,216.0,12509.4,260.0,256.0
Luas Lahan Tanaman Sayuran,Wortel,Ha,7.0,56.0,12509.4,15.0,29.0
Luas Lahan Tanaman Sayuran,Lobak,Ha,0.0,0.0,12509.4,0.0,0.0
Luas Lahan Tanaman Sayuran,Kacang Merah,Ha,0.0,0.0,12509.4,3765.0,0.0
Luas Lahan Tanaman Sayuran,Kacang Panjang,Ha,94.0,33.1,12509.4,8.0,5.0
Luas Lahan Tanaman Sayuran,Cabe Besar,Ha,104.0,58.5,12509.4,58.0,65.5
Luas Lahan Tanaman Sayuran,Cabe Rawit,Ha,239.0,268.5,12509.4,3765.0,371.2
Luas Lahan Tanaman Sayuran,Tomat,Ha,69.0,38.0,12509.4,15.0,24.0
Luas Lahan Tanaman Sayuran,Terong,Ha,74.0,29.5,12509.4,18.0,15.0
Luas Lahan Tanaman Sayuran,Buncis,Ha,22.0,7.0,12509.4,0.0,0.0
Luas Lahan Tanaman Sayuran,Mentimun,Ha,9.0,11.7,12509.4,6.0,4.0
Luas Lahan Tanaman Sayuran,Labu Siam,Ha,15.0,9.0,12509.4,7.0,10.0
Luas Lahan Tanaman Sayuran,Kangkung,Ha,43.0,31.36,12509.4,70.0,68.0
Luas Lahan Tanaman Sayuran,Bayam,Ha,79.0,66.3,12509.4,76.0,81.0
Luas Tanam Padi,Kabupaten Tulungagung,Ha,47226.0,7464.32,46701.0,43122.0,38469.0
Nilai Produksi Kedelai,Kabupaten Tulungagung,Rp,985144192.0,1056750654.8,204645000.0,3765.0,1044950250.0
Jumlah Produksi Ubi Kayu,Kabupaten Tulungagung,Ton,115336.48,7464.32,93692.97,3765.0,16252.35
Nilai Produksi Ubi Kayu,Kabupaten Tulungagung,Rp,222945415840.0,250096780929.0,207061463700.0,3765.0,44102133.2
,,,9469.0,7464.32,12509.4,3765.0,5085.0
