No,Kategori / Indikator,Sub Indikator,Satuan,2020,2021,2022,2023,2024
111,Nilai Produksi Buah-Buahan,Nangka,Rp,9.774.156.800.00,15.294.304.627.00,,179.782.332.00,25.438.609.095.00
112,Nilai Produksi Buah-Buahan,Manggis,Rp,614.880.000.00,332.704.008.00,,529.136.250.00,337.337.500.00
113,Nilai Produksi Buah-Buahan,Sirsak,Rp,325.121.700.00,623.262.150.00,,12.977.124.00,1.608.726.350.00
114,Nilai Produksi Buah-Buahan,Sukun,Rp,2.570.833.500.00,2.938.835.146.00,,45.625.294.00,5.476.220.398.00
115,Nilai Produksi Sayuran,Bawang Merah,Rp,63.719.214.090.91,54.955.652.083.33,,418.139.596.00,38.462.735.000.00
116,Nilai Produksi Sayuran,Bawang Putih,Rp,0,0,,0,0
117,Nilai Produksi Sayuran,Bawang Daun,Rp,212.978.666.67,2.021.560.000.00,,23.029.116.00,2.205.778.000.00
118,Nilai Produksi Sayuran,Kentang,Rp,37.800.000.00,0,,0,252.000.000.00
119,Nilai Produksi Sayuran,Kobis,Rp,848.909.000.00,5.660.328.939.39,,98.974.920.00,15.927.843.000.00
120,Nilai Produksi Sayuran,Kembang Kol,Rp,45.000.000.00,0,,0,0
121,Nilai Produksi Sayuran,Petsay/ Sawi,Rp,4.756.753.928.57,6.467.163.787.88,,97.953.896.00,11.217.576.000.00
122,Nilai Produksi Sayuran,Wortel,Rp,65.925.000.00,2.673.290.000.00,,7.967.016.00,1.975.929.000.00
123,Nilai Produksi Sayuran,Lobak,Rp,0,0,,0,0
124,Nilai Produksi Sayuran,Kacang Merah,Rp,0,0,,0,0
125,Nilai Produksi Sayuran,Kacang Panjang,Rp,870.098.821.43,1.401.850.000.00,,5.883.072.00,68.183.000.00
126,Nilai Produksi Sayuran,Cabe Besar,Rp,7.375.875.959.60,7.310.230.467.17,,130.703.515.00,15.625.069.000.00
127,Nilai Produksi Sayuran,Cabe Rawit,Rp,25.069.361.111.11,58.489.725.188.85,,568.627.735.00,32.873.032.000.00
128,Nilai Produksi Sayuran,Tomat,Rp,976.556.142.86,1.867.155.833.33,,11.510.784.00,3.612.989.000.00
129,Nilai Produksi Sayuran,Terong,Rp,708.514.583.33,471.448.993.51,,10.118.752.00,490.743.000.00
130,Nilai Produksi Sayuran,Buncis,Rp,129.772.285.71,6.133.333.33,,0,0
131,Nilai Produksi Sayuran,Mentimun,Rp,233.268.000.00,53.675.000.00,,2.559.105.00,113.238.000.00
132,Nilai Produksi Sayuran,Labu Siam,Rp,497.804.000.00,569.338.181.82,,1.661.700.00,399.028.000.00
133,Nilai Produksi Sayuran,Kangkung,Rp,3.451.118.333.33,19.257.923.571.43,,20.326.152.00,2.278.760.000.00
134,Nilai Produksi Sayuran,Bayam,Rp,1.236.367.500.00,1.631.387.500.00,,37.265.625.00,3.257.229.000.00
135,Luas Bencana Alam pada Tanaman Pertanian,Padi,Ha,,,,,324
136,Luas Bencana Alam pada Tanaman Pertanian,Cabe,Ha,,,,,38.28
137,Luas Bencana Alam pada Tanaman Pertanian,Kacang Panjang,Ha,,,,,0
138,Luas Bencana Alam pada Tanaman Pertanian,Terong,Ha,,,,,2.5
139,Luas Bencana Alam pada Tanaman Pertanian,Timun,Ha,,,,,0
140,Luas Bencana Alam pada Tanaman Pertanian,Buncis,Ha,,,,,0
141,Luas Bencana Alam pada Tanaman Pertanian,Jagung,Ha,,,,,5.372.22
142,Luas Bencana Alam pada Tanaman Pertanian,Semangka,Ha,,,,,0
143,Luas Bencana Alam pada Tanaman Pertanian,Bawang Merah,Ha,,,,,0.73
144,Luas Bencana Alam pada Tanaman Pertanian,Tomat,Ha,,,,,0.5
145,Luas Bencana Alam pada Tanaman Pertanian,Kacang Hijau,Ha,-,-,,,0
146,Luas Bencana Alam pada Tanaman Pertanian,Kacang Tanah,Ha,-,-,,,0
147,Luas Bencana Alam pada Tanaman Pertanian,Melon,Ha,-,-,,,0.63
148,Luas Bencana Alam pada Tanaman Pertanian,Kedelai,Ha,-,-,,,0
149,Luas Bencana Alam pada Tanaman Pertanian,Ubi Jalar,Ha,-,-,,,0
150,Luas Bencana Alam pada Tanaman Pertanian,Tembakau,Ha,-,-,,,0
151,Jumlah Petani Perkebunan,Kabupaten Tulungagung,KK,-,-,-,-,27.545.00
152,Kontribusi sektor pertanian / perkebunan terhadap PDRB,Kabupaten Tulungagung,%,19.51,19.26,18.62,-,-
153,Rasio Jaringan Irigasi,Kabupaten Tulungagung,%,,,,0.62,0
154,Persentase irigasi kabupaten dalam kondisi baik,Kabupaten Tulungagung,%,,,,0.62,44.43
155,Cakupan bina kelompok petani,Kabupaten Tulungagung,Kelompok,1.216.00,1.255.00,1.278.00,1.310.00,1.358.00
156,Produktivitas padi atau bahan pangan utama lokal lainnya per hektar,Kabupaten Tulungagung,Kw,,,,-,69.61
157,Luas Lahan Tanaman Sayuran,Bawang Merah,Ha,429,536,,,215.5
158,Luas Lahan Tanaman Sayuran,Bawang Putih,Ha,0,0,,0,0
159,Luas Lahan Tanaman Sayuran,Bawang Daun,Ha,47,57,,,26
160,Luas Lahan Tanaman Sayuran,Kentang,Ha,2,0,,0,2
161,Luas Lahan Tanaman Sayuran,Kobis,Ha,61,127,,156,283
162,Luas Lahan Tanaman Sayuran,Kembang Kol,Ha,1,0,,0,0
163,Luas Lahan Tanaman Sayuran,Petsay/ Sawi,Ha,134,216,,260,256
164,Luas Lahan Tanaman Sayuran,Wortel,Ha,7,56,,15,29
165,Luas Lahan Tanaman Sayuran,Lobak,Ha,0,0,,0,0
166,Luas Lahan Tanaman Sayuran,Kacang Merah,Ha,0,0,,-,0
167,Luas Lahan Tanaman Sayuran,Kacang Panjang,Ha,94,33.1,,8,5
168,Luas Lahan Tanaman Sayuran,Cabe Besar,Ha,104,58.5,,58,65.5
169,Luas Lahan Tanaman Sayuran,Cabe Rawit,Ha,239,268.5,,-,371.2
170,Luas Lahan Tanaman Sayuran,Tomat,Ha,69,38,,15,24
171,Luas Lahan Tanaman Sayuran,Terong,Ha,74,29.5,,18,15
172,Luas Lahan Tanaman Sayuran,Buncis,Ha,22,7,,0,0
173,Luas Lahan Tanaman Sayuran,Mentimun,Ha,9,11.7,,6,4
174,Luas Lahan Tanaman Sayuran,Labu Siam,Ha,15,9,,7,10
175,Luas Lahan Tanaman Sayuran,Kangkung,Ha,43,31.36,,70,68
176,Luas Lahan Tanaman Sayuran,Bayam,Ha,79,66.3,,76,81
177,Luas Tanam Padi,Kabupaten Tulungagung,Ha,47.226.00,,46.701.00,43.122.00,38.469.00
178,Nilai Produksi Kedelai,Kabupaten Tulungagung,Rp,985.144.192.00,1.056.750.654.80,204.645.000.00,,1.044.950.250.00
179,Jumlah Produksi Ubi Kayu,Kabupaten Tulungagung,Ton,115.336.48,,93.692.97,,16.252.35
180,Nilai Produksi Ubi Kayu,Kabupaten Tulungagung,Rp,222.945.415.840.00,250.096.780.929.00,207.061.463.700.00,,44.102.133.20
5.125.20,,,,,,,,
